mRNA,max,min
SLC6A20,5.846112157439122,0.0
PABPC1L,5.370530488843331,0.08841300972672499
LYVE1,4.829839414274271,0.07587486697512763
RBP4,9.298085714824689,0.0
CALCR,1.787432464516868,0.0
CD177,9.606504596989328,0.0
SLC7A10,4.366902672917206,0.0
CACNA1B,2.4038130616165896,0.0
ACTA2,9.770447844100167,1.790355013710841
CEBPA,7.303774356476054,0.06626144226872127
CAMP,4.128771800138154,0.0
MAGED1,7.026029826357988,0.865602138912267
CSF1R,6.072560323625106,0.48810363312357663
GPC6,4.301236440765232,0.2635152240488388
SH2D1A,3.152540397281153,0.04320449856516756
GUCY1A1,4.9443618484195335,0.19975085671583687
CSDC2,2.88494951674501,0.0
RARRES2,7.216203593926254,1.80690143234978
PPP1R16B,4.921145896355261,0.26002565596145555
CHI3L2,5.044787527998138,0.0272956240509075
DSP,8.870602991202457,0.7385516865202323
MGAM2,6.192411184592337,0.0
ADTRP,5.497631524787833,0.039138393906958314
BAMBI,8.883490689294462,0.19067806561753303
LEMD1,4.900427292507308,0.0
SLC30A2,4.466640170141147,0.0
TMEM151A,6.519828075289075,0.0
TMEM132B,2.3224473716378746,0.0
GAD1,4.022252392808313,0.0
DNASE1L3,3.8251343346188387,0.010636636108736996
GPX2,11.191185521951457,0.7500061502042006
SSTR2,2.638514110648858,0.0647449200353551
GHRL,6.860998790317079,0.026445980303800867
TM4SF4,9.468304109929186,0.0
MEFV,2.0515461195779268,0.021053252054075176
ZNF208,1.5597854616979894,0.0025945167084523227
ANKRD35,4.2991493933976725,0.06681250989990178
LAMA3,6.9152400306907325,0.14925936549962288
FBLN5,6.306874657154673,0.7181752831211097
CDX2,6.908678429231314,0.0
LRRC2,2.3373114773309576,0.0043216059500934675
SPATA13,5.289030285262713,0.3691593460645315
PTPRD,2.8959423845192873,0.01135250722990522
SNAP91,1.5697827124241277,0.0
FN1,9.609855962357278,1.2649567179648225
MARK1,2.618896412163088,0.025454096427749123
CCL24,8.322734876800075,0.058801353616186214
TRIB3,6.910174996627362,0.17299947259176224
NRXN2,3.654573021115588,0.023610215182645337
KCNC2,1.8221998728199682,0.0
DLK2,3.0824811956259595,0.07066410077878965
CUX2,2.2980423996410186,0.0
NPTX2,7.844103142762005,0.0
SLC13A3,4.388010394844902,0.009777121611529913
KLHDC7B,6.5474344051066655,0.017779412561234692
ZBED2,4.231985294629357,0.0
CAVIN1,8.455764894711601,2.4103139656259307
MUCL3,10.478439895147499,0.00417776078910997
KCNN4,6.95617052043314,0.20125745684324106
SYNE4,3.6401002978903896,0.04348449760357947
CD37,6.821563540385066,0.4578569104137691
MAP3K20,6.17090449924076,1.11623166060415
DSG1,5.783469750661009,0.0
DEFB103B,1.5652072055745458,0.0
SCTR,5.083264436196134,0.0
COL28A1,3.2254908860171008,0.010350188169567268
H1-0,8.893531797559227,1.787933893604076
SDC4,9.561232947932343,2.0096696462853068
SLC22A1,4.4035745010470695,0.0
CAPS,6.937257281627919,0.28297348862158905
SPRR2D,10.494379606578214,0.0
KCNIP3,2.6023618566308544,0.012211083950874365
HSD11B1,4.692510891615071,0.0
ACTL8,6.951767281319507,0.0
FAM131B,4.108030928851697,0.0
SLC16A5,5.922383407394625,0.38316512484753
MAMDC2,4.870976194032404,0.010636636108736996
B4GALNT3,6.065326729245838,0.18091166336856904
HAO2,1.529970829136579,0.0
FCGR2A,5.307446740923725,0.4539652653964086
IGLL5,6.9674337844547765,0.0
NTNG1,2.0913274776911015,0.0
STYXL2,7.406666764031339,0.0
RERG,5.574631368022742,0.06267436276339249
SEMA3C,6.691610931672472,0.3507235344410223
IGFBP5,9.321317750881965,2.801820860496117
BPIFB1,11.209400603941814,0.0
CLDN11,4.05405833738458,0.006621180122379961
CAMK2B,4.153213547653534,0.0
IGFBP7,9.715331938763006,3.7951019581228245
FNDC1,6.941059347452852,0.03843618165610792
TRIM29,8.142004915984876,0.0
SAMD9,7.4351051554803895,0.630871383012576
TRIM7,2.8439637506627053,0.021053252054075176
RPL39L,5.313220452003392,0.2630344058337938
C1QA,9.090981480886127,2.5243646238798676
MAP1B,5.998712270984885,0.40392210473979556
SYT2,1.257493447876156,0.005328120695281701
HAVCR2,4.676069904421916,0.23008001621890772
LYPD8,7.2887811936872895,0.0
RDH16,2.7720334313383552,0.0
ADD2,2.7577700106965897,0.0036022366801955258
CFD,9.398819351294176,1.0877343818197254
YBX2,4.392763902149364,0.005184375859723257
KCNH8,3.174246607392406,0.0
COL6A2,9.022707638661158,3.2912941233385804
FCRL5,2.9527249421655335,0.0
TRABD2A,4.597918462912103,0.03280614508324147
TCN1,8.68314305779374,0.0
APOBEC1,6.647223834523324,0.0
NDNF,5.43590190687067,0.02019992294349774
CPS1,9.111616401517,0.01249716268290215
C8B,2.0004327436039713,0.0
REG4,11.12007784986606,0.0
CDH15,1.3088850574117634,0.0
MT3,3.2839513961316222,0.0
ASXL2,3.8576426683470872,0.9903740360558423
HSPA1B,9.71471157027822,1.3791773288908076
HEYL,6.379031732028535,0.28617145110701936
SKA3,5.999770052153402,0.10688428869154283
PLEKHB1,6.592862131017766,0.06791401408846634
MPV17L,4.187997306021381,0.01049341924845273
GABRA3,6.1152684276935325,0.0
SPDEF,7.309395406032847,0.0
COL11A2,7.75769401843747,0.01492654423810282
EHD2,7.3981613668312995,1.8682521531661478
CLPS,13.293994559752315,0.0
CLMP,5.71883559621605,0.13264264253961866
RNF17,2.868192877726716,0.0
DLEC1,0.8738131983590872,0.015354834293464039
PPY,3.9459915468225377,0.0
TRIM58,3.7213289076370346,0.003746139232894637
IQCA1,1.6505348123147783,0.010206942869257083
IDO1,9.284274672856522,0.11049688191740235
CEMIP,8.332860070877276,0.03322916078511099
EGR1,9.548588053487665,2.3110671022555955
SLC22A17,5.057749178027521,0.1655582544611737
TRIM22,5.560176900069973,0.6356151058697428
AIM2,6.268340815987771,0.01206802330909034
OASL,6.383953071125956,0.1877677470460248
PLA2G2D,5.062562122690734,0.0
TGFB1I1,6.708201033726734,1.0415934486591822
MYEOV,7.653970015571203,0.03632749181776505
HAAO,5.961896469974964,0.2961930726147916
CIDEC,7.4384251036534215,0.0
SYT4,6.1171506051315685,0.0
SHISA2,7.326724288136441,0.06584800336608129
ADAMTS4,5.013283586818423,0.41196851036013304
B3GNT3,7.420859633640114,0.18065710756007647
FGF7,5.372812834912455,0.05769286716834593
HTR1F,0.6826631820889482,0.0
INS,0.3074285251922473,0.0
SCARF2,5.493122109681639,0.38095104362584714
HOXB9,6.862950966302318,0.0
ARHGAP36,0.765449879452697,0.0
CACNA2D2,3.7223895158872375,0.061707084791597165
UGT1A9,0.565987040750771,0.0
FRMD5,3.5345721344600247,0.039419183133397186
TFRC,7.3294725642638126,1.9316452401803978
MCOLN3,3.8404028055866006,0.008343458529334968
KRT10,9.01412455268227,2.7223567252520615
KCNJ13,2.60031733501462,0.0
UTY,2.7928345341020266,0.0
ZNF804A,4.283958801992579,0.0
GDPD3,5.21733930208347,0.08515268056313831
TSPAN13,7.922020593476467,2.0674322094855184
FAM181A,0.7598375964880797,0.0
PLEKHO1,5.608705766984382,0.6611110979012392
RTP4,5.244498940217621,0.5075155864792288
KSR2,2.6775082422647216,0.0043216059500934675
SERHL2,2.216765255645285,0.10849100259224341
UNC5D,2.093762977517903,0.0
HMGN5,7.843660432128176,0.2519311266885868
NDN,5.590461299808663,0.5783107928487263
ICOS,3.529371205253929,0.011924948479708555
DDX3Y,4.392688353814471,0.0
