miRNA,max,min
hsa-mir-4326,6.683676483788497,0.0
hsa-mir-106a,7.914093555702878,0.7302373579448458
hsa-mir-23b,12.444871519830064,8.3025532093925
hsa-mir-1185-1,2.7637708224203177,0.0
hsa-mir-598,9.427054206603923,1.9961327267176425
hsa-mir-329-1,3.8183914671132766,0.0
hsa-mir-2116,4.002492895871783,0.0
hsa-mir-518a-1,9.152780009933405,0.0
hsa-mir-4713,1.9780326764961282,0.0
hsa-mir-29c,14.146173302365902,8.37769705094141
hsa-mir-95,6.724211039557991,0.0
hsa-mir-548f-1,4.368091324671806,0.0
hsa-mir-7705,3.4954612173068207,0.0
hsa-mir-3652,4.625709018379295,0.0
hsa-mir-5683,5.978778791760996,0.0
hsa-mir-150,13.080339957810446,4.135905017689417
hsa-mir-658,1.7537525632301503,0.0
hsa-mir-1295a,4.642588369542606,0.0
hsa-mir-196a-1,10.27708335770005,0.0
hsa-mir-4664,3.5115519115144425,0.0
hsa-mir-146b,12.277096896587807,4.7601419421099616
hsa-mir-455,11.534752278597981,3.327115058280709
hsa-mir-6875,1.6916476107807947,0.0
hsa-mir-181d,8.072678910241972,0.0
hsa-mir-5579,2.960782468041977,0.0
hsa-mir-574,8.361783266079872,3.447560418911025
hsa-mir-195,7.316704008668014,2.081460642399874
hsa-mir-18b,3.6119370890549645,0.0
hsa-mir-524,7.298068480579347,0.0
hsa-mir-4668,3.632558121534277,0.0
hsa-mir-143,19.582422802539437,13.733376238391436
hsa-mir-1306,5.491636323129861,0.7808392001898594
hsa-mir-6514,1.9883527605731228,0.0
hsa-mir-4442,1.9000664999706411,0.0
hsa-mir-192,17.343090305927408,6.830449327944962
hsa-mir-7844,2.732550112313823,0.0
hsa-mir-3615,5.09043787613019,0.0
hsa-mir-107,8.362798245102232,3.7254440812264162
hsa-mir-656,3.206377069705669,0.0
hsa-mir-130a,8.828169978454516,2.6964499265165696
hsa-mir-147b,5.576808804263531,0.0
hsa-mir-4742,2.734458610093041,0.0
hsa-mir-889,9.112828372110473,1.7635925905323941
hsa-mir-133a-1,8.57593365183574,0.0
hsa-mir-410,9.985751158181877,0.480669433682962
hsa-mir-19b-1,9.239541796448265,3.5224098491570244
hsa-mir-20b,8.447169380227532,0.8387743176556085
hsa-mir-138-2,2.775185214836522,0.0
hsa-mir-149,8.877183741158142,0.663978491616799
hsa-mir-372,13.984024594692034,0.0
hsa-mir-1181,2.1944511479457884,0.0
hsa-mir-497,6.7284406564828325,1.3167539794382839
hsa-mir-6510,7.273019495586679,0.0
hsa-mir-24-2,12.209039714970016,8.180712750732905
hsa-mir-204,8.863106970556544,0.0
hsa-mir-625,11.995763740546169,5.005981799331245
hsa-mir-3654,3.5063076763211516,0.0
hsa-mir-509-3,7.408646593564524,0.0
